filePath,country,breedName,health,finalSkill,veterancy,healthRegen,staminaRegen,speed,inventory,tankSkill,vehicleSkill,cannonSkill,tankGunSkill,pistolSkill,smgSkill,mgunSkill,rifleSkill,rocketLskill,melee,commandPower,score,captureWeight,newMp,newCp
./resource/gamelogic/set/breed/mp\ger\sturmovik4b.set,ger,sturmovik4b,0.2,vet_5,1,0.1,0.1,0.0009,"['""g43"" filling ""ammo g43_mag"" 10', '""ammo g43_mag"" 20', '""ammo mauser_clip"" 60', '""ammo mg_mauser drum"" 50', '""bandage"" 5', '""grenade m24"" 2', '""grenade m24x5"" 0 1', '""sandbag_kit""']",0.00085,0.001,0.0009,0.0,0.005,0.004,0.004,0.005,4,0.005,0.00125,0.00125,0.00125,43.040000000000006,0.4304
./resource/gamelogic/set/breed/mp\ger\sturmovik4b_41.set,ger,sturmovik4b_41,0.2,vet_5,1,0.1,0.1,0.0009,"['""g41"" filled', '""ammo mauser_clip"" 80', '""ammo mg_mauser drum"" 50', '""bandage"" 5', '""grenade m24"" 2', '""grenade m24x5"" 0 1', '""sandbag_kit""']",0.00085,0.001,0.0009,0.0,0.005,0.004,0.004,0.005,4,0.005,0.00125,0.00125,0.00125,43.040000000000006,0.4304
./resource/gamelogic/set/breed/mp\ger\sturmovik5.set,ger,sturmovik5,0.2,vet_5,1,0.1,0.1,0.0009,"['""weapon panzershreck"" filled', '""bandage"" 5', '""grenade hohlladung""', '""ammo panzershreck"" 7', '""valter"" filled', '""ammo walther_mag"" 16']",0.00085,0.001,0.0009,0.0,0.005,0.005,0.004,0.004,6,0.005,0.00125,0.00125,0.00125,43.040000000000006,0.4304
./resource/gamelogic/set/breed/mp\ger\sturmovik5b.set,ger,sturmovik5b,0.2,vet_5,1,0.1,0.1,0.0009,"['""mp40"" filled', '""ammo mp40_mag"" 192', '""bandage"" 5', '""grenade m24"" 2', '""grenade hohlladung""', '""ammo panzershreck"" 3']",0.00085,0.001,0.0009,0.0,0.005,0.005,0.004,0.004,6,0.005,0.00125,0.00125,0.00125,43.040000000000006,0.4304
./resource/gamelogic/set/breed/mp\ger\sturmovik6.set,ger,sturmovik6,0.2,vet_5,1,0.1,0.1,0.0009,"['""mg42_inf"" filled', '""ammo mg_mauser drum"" 300', '""valter"" filled', '""ammo walther_mag"" 16', '""bandage"" 5', '""grenade m24"" 2', '""sandbag_kit""', '""barrel_case""']",0.00085,0.001,0.0009,0.0,0.005,0.004,0.005,0.004,4,0.005,0.00125,0.00125,0.00125,43.040000000000006,0.4304
./resource/gamelogic/set/breed/mp\ger\sturmovik6b.set,ger,sturmovik6b,0.2,vet_5,1,0.1,0.1,0.0009,"['""mauzer"" filled', '""ammo mauser_clip"" 60', '""ammo mg_mauser belt"" 600', '""bandage"" 5', '""grenade m24"" 2', '""sandbag_kit""']",0.00085,0.001,0.0009,0.0,0.005,0.004,0.005,0.005,4,0.005,0.00125,0.00125,0.00125,43.14000000000001,0.4314
./resource/gamelogic/set/breed/mp\ger\sturmovik6_39.set,ger,sturmovik6_39,0.2,vet_5,1,0.1,0.1,0.0009,"['""mg34"" filled', '""ammo mg_mauser drum"" 300', '""valter"" filled', '""ammo walther_mag"" 16', '""bandage"" 5', '""grenade m24"" 2', '""sandbag_kit""', '""barrel_case""']",0.00085,0.001,0.0009,0.0,0.005,0.004,0.005,0.004,4,0.005,0.00125,0.00125,0.00125,43.040000000000006,0.4304
./resource/gamelogic/set/breed/mp\ger\sturmovik_39.set,ger,sturmovik_39,0.2,vet_5,1,0.1,0.1,0.0009,"['""mp38"" filled', '""ammo mp40_mag"" 192', '""bandage"" 5', '""grenade m24"" 2', '""grenade m24x5"" 0 1']",0.00085,0.001,0.0009,0.0,0.005,0.005,0.004,0.004,4,0.005,0.00125,0.00125,0.00125,43.040000000000006,0.4304
./resource/gamelogic/set/breed/mp\ger\sturmovik_40.set,ger,sturmovik_40,0.2,vet_5,1,0.1,0.1,0.0009,"['""mp40"" filled', '""ammo mp40_mag"" 192', '""bandage"" 5', '""grenade m24"" 2', '""grenade m24x5"" 0 1']",0.00085,0.001,0.0009,0.0,0.005,0.005,0.004,0.004,4,0.005,0.00125,0.00125,0.00125,43.040000000000006,0.4304
./resource/gamelogic/set/breed/mp\ger\sturmovik_pzfst.set,ger,sturmovik_pzfst,0.2,vet_5,1,0.1,0.1,0.0009,"['""mauzer"" filled', '""ammo mauser_clip"" 60', '""ammo mg_mauser drum"" 50', '""bandage"" 5', '""grenade m24"" 2', '""grenade m24x5"" 0 1', '""panzerfaust_60 weapon"" filled']",0.00085,0.001,0.0009,0.0,0.005,0.004,0.004,0.005,5,0.005,0.00125,0.00125,0.00125,43.040000000000006,0.4304
./resource/gamelogic/set/breed/mp\ger\sturmovik_pzfst_sa.set,ger,sturmovik_pzfst_sa,0.2,vet_5,1,0.1,0.1,0.0009,"['""g43"" filling ""ammo g43_mag"" 10', '""ammo g43_mag"" 20', '""ammo mauser_clip"" 60', '""ammo mg_mauser drum"" 50', '""bandage"" 5', '""grenade m24"" 2', '""grenade m24x5"" 0 1', '""panzerfaust_60 weapon"" filled']",0.00085,0.001,0.0009,0.0,0.005,0.004,0.004,0.005,5,0.005,0.00125,0.00125,0.00125,43.040000000000006,0.4304
./resource/gamelogic/set/breed/mp\ger\sturmovik_pzfst_stg.set,ger,sturmovik_pzfst_stg,0.2,vet_5,1,0.1,0.1,0.0009,"['""sg44"" filled', '""ammo stg44_mag"" 180', '""bandage"" 5', '""grenade m24"" 2', '""grenade m24x5"" 0 1', '""panzerfaust_60 weapon"" filled']",0.00085,0.001,0.0009,0.0,0.005,0.005,0.004,0.004,5,0.005,0.00125,0.00125,0.00125,43.040000000000006,0.4304
./resource/gamelogic/set/breed/mp\ger\sturmovik_sl.set,ger,sturmovik_sl,0.2,vet_5,1,0.1,0.1,0.0009,"['""sg44"" filled', '""ammo stg44_mag"" 180', '""bandage"" 5', '""grenade m24"" 2', '""grenade m24x5"" 0 1', '""smoke grenade"" 2']",0.00085,0.001,0.0009,0.0,0.005,0.005,0.004,0.004,4,0.005,0.00125,0.00125,0.00125,43.040000000000006,0.4304
./resource/gamelogic/set/breed/mp\ger\sturmovik_sl_40.set,ger,sturmovik_sl_40,0.2,vet_5,1,0.1,0.1,0.0009,"['""mp40"" filled', '""ammo mp40_mag"" 192', '""bandage"" 5', '""grenade m24"" 2', '""grenade m24x5"" 0 1', '""smoke grenade"" 2']",0.00085,0.001,0.0009,0.0,0.005,0.005,0.004,0.004,4,0.005,0.00125,0.00125,0.00125,43.040000000000006,0.4304
./resource/gamelogic/set/breed/mp\ger\sturmovik_sl_asst.set,ger,sturmovik_sl_asst,0.2,vet_5,1,0.1,0.1,0.0009,"['""mauzer"" filled', '""ammo mauser_clip"" 60', '""ammo mg_mauser drum"" 50', '""bandage"" 5', '""grenade m24"" 2', '""grenade m24x5"" 0 1', '""sandbag_kit""']",0.00085,0.001,0.0009,0.0,0.005,0.004,0.004,0.005,4,0.005,0.00125,0.00125,0.00125,43.040000000000006,0.4304
./resource/gamelogic/set/breed/mp\ger\tankman.set,ger,tankman,0.1,tankman,,0.1,0.1,0.0008,"['""valter"" filled', '""ammo walther_mag"" 32', '""bandage"" 3']",0.001,0.001,0.0009,0.002,0.004,0.004,0.002,0.003,2,0.004,0.00025,0.0012,0.00025,32.43999999999999,0.3244
./resource/gamelogic/set/breed/mp\ger\tankman2.set,ger,tankman2,0.15,tankman2,,0.1,0.1,0.0008,"['""mp40"" filled', '""ammo mp40_mag"" 96', '""bandage"" 3']",0.0011,0.001,0.00095,0.004,0.004,0.004,0.004,0.003,2,0.004,0.0005,0.0022,0.0005,38.00499999999998,0.38005
./resource/gamelogic/set/breed/mp\ger\vehicle_supporter.set,ger,vehicle_supporter,0.15,vehicle_supporter,tankcrew,0.1,0.1,0.0009,"['""mauzer"" filled', '""ammo mauser_clip"" 60', '""bandage"" 3', '""grenade m24""']",0.00085,0.001,0.001,0.004,0.002,0.002,0.004,0.002,2,0.004,0.0005,0.002,0.00025,37.45000000000001,0.3745
./resource/gamelogic/set/breed/mp\ger\vet_tankman.set,ger,vet_tankman,0.1,tankman,tankcrew,0.1,0.1,0.0008,"['""valter"" filled', '""ammo walther_mag"" 32']",0.00115,0.00115,0.001,0.005,0.005,0.005,0.004,0.003,2,0.004,0.00025,0.0012,0.00025,33.179999999999986,0.3318
./resource/gamelogic/set/breed/mp\ger\vet_tankman2.set,ger,vet_tankman2,0.15,tankman2,tankcrew,0.1,0.1,0.0008,"['""mp40"" filled', '""ammo mp40_mag"" 96']",0.0012,0.0012,0.001,0.006999999999999999,0.004,0.005,0.006,0.003,2,0.004,0.0005,0.0022,0.0005,38.639999999999986,0.38639999999999997
./resource/gamelogic/set/breed/mp\ger\vet_vehicle_supporter.set,ger,vet_vehicle_supporter,0.15,,tankcrew,0.1,0.1,0.0009,"['""mauzer"" filled', '""ammo mauser_clip"" 60', '""bandage"" 3', '""grenade m24""']",0.001,0.001,0.001,0.006,0.003,0.003,0.006,0.004,2,0.004,0.0,0.0,0.0,37.99,0.3799
./resource/gamelogic/set/breed/mp\ger\volksgren_at.set,ger,volksgren_at,0.1,vet_2,1,0.1,0.1,0.0009,"['""weapon panzershreck"" filled', '""bandage"" 3', '""hohlladung grenade""', '""ammo panzershreck"" 7', '""valter"" filled', '""ammo walther_mag"" 16']",0.00075,0.001,0.0008,0.0,0.001,0.001,0.001,0.002,3,0.002,0.0005,0.0005,0.0005,31.195000000000004,0.31195000000000006
./resource/gamelogic/set/breed/mp\ger\volksgren_at2.set,ger,volksgren_at2,0.1,vet_2,1,0.1,0.1,0.0009,"['""mauzer"" filled', '""ammo mauser_clip"" 60', '""bandage"" 3', '""grenade m24"" 1', '""hohlladung grenade""', '""ammo panzershreck"" 3']",0.00075,0.001,0.0008,0.0,0.001,0.001,0.001,0.002,3,0.002,0.0005,0.0005,0.0005,31.195000000000004,0.31195000000000006
./resource/gamelogic/set/breed/mp\ger\volksgren_grenadier.set,ger,volksgren_grenadier,0.1,vet_2,1,0.1,0.1,0.0009,"['""mauzer"" filled', '""ammo mauser_clip"" 60', '""bandage"" 3', '""k98_gewehrgranat"" filling ""k98_grenade fg"" 1', '""k98_grenade fg"" 10 1', '""k98_grenade ap"" 5 1']",0.00075,0.001,0.0008,0.0,0.001,0.001,0.001,0.002,2,0.002,0.0005,0.0005,0.0005,31.195000000000004,0.31195000000000006
./resource/gamelogic/set/breed/mp\ger\volksgren_mg.set,ger,volksgren_mg,0.1,vet_2,1,0.1,0.1,0.0009,"['""mg42_inf"" filled', '""ammo mg_mauser drum"" 300', '""valter"" filled', '""ammo walther_mag"" 16', '""bandage"" 3', '""barrel_case""']",0.00075,0.001,0.0008,0.0,0.002,0.001,0.002,0.001,2,0.002,0.0005,0.0005,0.0005,31.295,0.31295000000000006
./resource/gamelogic/set/breed/mp\ger\volksgren_mg_asst.set,ger,volksgren_mg_asst,0.1,vet_2,1,0.1,0.1,0.0009,"['""mauzer"" filled', '""ammo mauser_clip"" 60', '""ammo mg_mauser belt"" 600', '""bandage"" 3', '""grenade m24""']",0.00075,0.001,0.0008,0.0,0.001,0.001,0.002,0.002,1,0.002,0.0005,0.0005,0.0005,31.295,0.31295000000000006
./resource/gamelogic/set/breed/mp\ger\volksgren_mg_asst2.set,ger,volksgren_mg_asst2,0.1,vet_2,1,0.1,0.1,0.0009,"['""mp40"" filled', '""ammo mp40_mag"" 192', '""ammo mg_mauser belt"" 600', '""bandage"" 3', '""grenade m24""']",0.00075,0.001,0.0008,0.0,0.001,0.002,0.002,0.001,1,0.002,0.0005,0.0005,0.0005,31.295,0.31295000000000006
./resource/gamelogic/set/breed/mp\ger\volksgren_mg_asst3.set,ger,volksgren_mg_asst3,0.1,vet_2,1,0.1,0.1,0.0009,"['""g43"" filling ""ammo g43_mag"" 10', '""ammo g43_mag"" 20', '""ammo mauser_clip"" 60', '""ammo mg_mauser belt"" 600', '""bandage"" 3', '""grenade m24""']",0.00075,0.001,0.0008,0.0,0.001,0.001,0.002,0.002,1,0.002,0.0005,0.0005,0.0005,31.295,0.31295000000000006
./resource/gamelogic/set/breed/mp\ger\volksgren_pzfst.set,ger,volksgren_pzfst,0.1,vet_2,1,0.1,0.1,0.0009,"['""mauzer"" filled', '""ammo mauser_clip"" 60', '""bandage"" 3', '""grenade m24""', '""panzerfaust weapon"" 0 1 filled']",0.00075,0.001,0.0008,0.0,0.001,0.001,0.001,0.002,2,0.002,0.0005,0.0005,0.0005,31.195000000000004,0.31195000000000006
./resource/gamelogic/set/breed/mp\ger\volksgren_pzfst2.set,ger,volksgren_pzfst2,0.1,vet_2,1,0.1,0.1,0.0009,"['""sg44"" filled', '""ammo stg44_mag"" 180', '""bandage"" 3', '""grenade m24"" 1.5 0.5', '""grenade m24x5"" 0 1', '""panzerfaust weapon"" 0 1 filled']",0.00075,0.001,0.0008,0.0,0.001,0.002,0.001,0.001,2,0.002,0.0005,0.0005,0.0005,31.195000000000004,0.31195000000000006
./resource/gamelogic/set/breed/mp\ger\volksgren_rifle.set,ger,volksgren_rifle,0.1,vet_2,1,0.1,0.1,0.0009,"['""mauzer"" filled', '""ammo mauser_clip"" 60', '""bandage"" 3', '""grenade m24""', '""panzerfaust_30 weapon"" 0 1 filled']",0.00075,0.001,0.0008,0.0,0.001,0.001,0.001,0.002,2,0.002,0.0005,0.0005,0.0005,31.195000000000004,0.31195000000000006
./resource/gamelogic/set/breed/mp\ger\volksgren_sa.set,ger,volksgren_sa,0.1,vet_2,1,0.1,0.1,0.0009,"['""g43"" filling ""ammo g43_mag"" 10', '""ammo g43_mag"" 20', '""ammo mauser_clip"" 60', '""bandage"" 3', '""grenade m24""', '""panzerfaust_60 weapon"" 0 1 filled']",0.00075,0.001,0.0008,0.0,0.001,0.001,0.001,0.002,1,0.002,0.0005,0.0005,0.0005,31.195000000000004,0.31195000000000006
./resource/gamelogic/set/breed/mp\ger\volksgren_sl_asst.set,ger,volksgren_sl_asst,0.1,vet_2,1,0.1,0.1,0.0009,"['""mp40"" filled', '""ammo mp40_mag"" 192', '""bandage"" 3', '""grenade m24"" 2', '""smoke grenade"" 2', '""panzerfaust_60 weapon"" 0 1 filled']",0.00075,0.001,0.0008,0.0,0.001,0.003,0.001,0.002,1,0.003,0.0005,0.0005,0.0005,31.495000000000005,0.31495000000000006
./resource/gamelogic/set/breed/mp\ger\volksgren_sl_smg.set,ger,volksgren_sl_smg,0.1,vet_2,1,0.1,0.1,0.0009,"['""mp40"" filled', '""ammo mp40_mag"" 192', '""bandage"" 3', '""grenade m24"" 2', '""smoke grenade"" 2']",0.00075,0.001,0.0008,0.0,0.001,0.003,0.001,0.002,1,0.003,0.0005,0.0005,0.0005,31.495000000000005,0.31495000000000006
./resource/gamelogic/set/breed/mp\ger\volksgren_sl_stg.set,ger,volksgren_sl_stg,0.1,vet_2,1,0.1,0.1,0.0009,"['""sg44"" filled', '""ammo stg44_mag"" 180', '""bandage"" 3', '""grenade m24"" 2', '""smoke grenade"" 2']",0.00075,0.001,0.0008,0.0,0.001,0.003,0.001,0.002,1,0.003,0.0005,0.0005,0.0005,31.495000000000005,0.31495000000000006
./resource/gamelogic/set/breed/mp\ger\volksgren_smg.set,ger,volksgren_smg,0.1,vet_2,1,0.1,0.1,0.0009,"['""mp40"" filled', '""ammo mp40_mag"" 192', '""bandage"" 3', '""grenade m24"" 1.5 0.5', '""grenade m24x5"" 0 1', '""smoke grenade"" 0 1', '""panzerfaust_30 weapon"" 0 1 filled']",0.00075,0.001,0.0008,0.0,0.001,0.002,0.001,0.001,1,0.002,0.0005,0.0005,0.0005,31.195000000000004,0.31195000000000006
./resource/gamelogic/set/breed/mp\ger\volksgren_stg44.set,ger,volksgren_stg44,0.1,vet_2,1,0.1,0.1,0.0009,"['""sg44"" filled', '""ammo stg44_mag"" 180', '""bandage"" 3', '""grenade m24"" 1.5 0.5', '""grenade m24x5"" 0 1', '""smoke grenade"" 0 1', '""panzerfaust_60 weapon"" 0 1 filled']",0.00075,0.001,0.0008,0.0,0.001,0.002,0.001,0.001,1,0.002,0.0005,0.0005,0.0005,31.195000000000004,0.31195000000000006
./resource/gamelogic/set/breed/mp\ger2\ap_miner.set,ger2,ap_miner,0.15,ap_miner,,0.1,0.1,0.0009,"['""mp40"" filled', '""ammo mp40_mag"" 192', '""mine s_mine"" 20', '""barbwire_kit""', '""hohlladung grenade""', '""bandage"" 5']",0.00075,0.001,0.0008,0.0,0.004,0.004,0.002,0.003,2,0.004,0.001,0.001,0.001,37.345000000000006,0.37345
./resource/gamelogic/set/breed/mp\ger2\at_miner.set,ger2,at_miner,0.15,at_miner,,0.1,0.1,0.0009,"['""mp40"" filled', '""ammo mp40_mag"" 192', '""mine antitank"" 7', '""hedgehog_kit""', '""hohlladung grenade""', '""bandage"" 5']",0.00075,0.001,0.0008,0.0,0.004,0.004,0.002,0.003,2,0.004,0.001,0.001,0.001,37.345000000000006,0.37345
./resource/gamelogic/set/breed/mp\ger2\at_rifle.set,ger2,at_rifle,0.15,at_rifle,1,0.1,0.1,0.0009,"['""pzb39"" filled', '""bandage"" 3', '""hohlladung grenade""', '""ammo ptr"" 35']",0.00075,0.001,0.0008,0.0,0.004,0.004,0.001,0.005,2,0.004,0.001,0.0015,0.001,37.495000000000005,0.37495
./resource/gamelogic/set/breed/mp\ger2\at_rifle2.set,ger2,at_rifle2,0.15,at_rifle,1,0.1,0.1,0.0009,"['""mp40"" filled', '""ammo mp40_mag"" 192', '""bandage"" 3', '""grenade m24"" 2', '""hohlladung grenade""', '""smoke grenade"" 1', '""ammo ptr"" 10']",0.00075,0.001,0.0008,0.0,0.004,0.004,0.002,0.005,2,0.004,0.001,0.0015,0.001,37.595000000000006,0.37595
./resource/gamelogic/set/breed/mp\ger2\at_rifle3.set,ger2,at_rifle3,0.15,at_rifle,1,0.1,0.1,0.0009,"['""ptrd"" filled', '""bandage"" 3', '""hohlladung grenade""', '""ammo ptr"" 25']",0.00075,0.001,0.0008,0.0,0.004,0.004,0.001,0.005,2,0.004,0.001,0.0015,0.001,37.495000000000005,0.37495
./resource/gamelogic/set/breed/mp\ger2\bazooker.set,ger2,bazooker,0.15,bazooker,1,0.1,0.1,0.0009,"['""mauzer"" filled', '""ammo mauser_clip"" 60', '""bandage"" 3', '""grenade m24"" 2', '""hohlladung grenade""', '""smoke grenade"" 1', '""panzerfaust_60 weapon"" filled', '""panzerfaust_60 weapon"" filled']",0.00075,0.001,0.0008,0.0,0.004,0.003,0.002,0.004,5,0.004,0.001,0.0015,0.001,37.395,0.37395
./resource/gamelogic/set/breed/mp\ger2\bazooker2.set,ger2,bazooker2,0.15,bazooker,1,0.1,0.1,0.0009,"['""mauzer"" filled', '""ammo mauser_clip"" 60', '""bandage"" 3', '""grenade m24"" 2', '""hohlladung grenade""', '""smoke grenade"" 1', '""ammo panzershreck"" 6']",0.00075,0.001,0.0008,0.0,0.004,0.003,0.002,0.004,5,0.004,0.001,0.0015,0.001,37.395,0.37395
./resource/gamelogic/set/breed/mp\ger2\bazooker3.set,ger2,bazooker3,0.15,bazooker,1,0.1,0.1,0.0009,"['""weapon panzershreck"" filled', '""bandage"" 3', '""hohlladung grenade""', '""ammo panzershreck"" 7', '""valter"" filled', '""ammo walther_mag"" 16']",0.00075,0.001,0.0008,0.0,0.004,0.003,0.002,0.004,5,0.004,0.001,0.0015,0.001,37.395,0.37395
./resource/gamelogic/set/breed/mp\ger2\elite.set,ger2,elite,0.25,vet_4,1,0.1,0.1,0.0009,"['""g41b"" filled', '""ammo rifle"" 150', '""bandage"" 5', '""grenade m24"" 4', '""grenade pwm1"" 2', '""smoke grenade"" 2']",0.0009,0.001,0.001,0.0,0.003,0.003,0.003,0.003,3,0.003,0.001,0.001,0.001,47.18,0.4718
./resource/gamelogic/set/breed/mp\ger2\elite2.set,ger2,elite2,0.25,vet_4,1,0.1,0.1,0.0009,"['""g43_scope"" filled', '""ammo rifle"" 150', '""bandage"" 5', '""grenade m24"" 2', '""grenade pwm1"" 1', '""smoke grenade"" 2', '""dynamite_ladung"" 1']",0.0009,0.001,0.001,0.0,0.003,0.003,0.003,0.003,3,0.003,0.001,0.001,0.001,47.18,0.4718
./resource/gamelogic/set/breed/mp\ger2\elite3.set,ger2,elite3,0.25,vet_4,1,0.1,0.1,0.0009,"['""mg34"" filled', '""ammo mgun"" 900', '""bandage"" 5', '""grenade m24"" 2', '""grenade pwm1"" 1', '""sandbag_kit"" 1']",0.0009,0.001,0.001,0.0,0.003,0.003,0.003,0.003,3,0.003,0.001,0.001,0.001,47.18,0.4718
./resource/gamelogic/set/breed/mp\ger2\elite4.set,ger2,elite4,0.1,vet_2,1,0.1,0.1,0.0009,"['""ppsh"" filled', '""ammo ppsh_mag"" 142', '""bandage"" 3', '""dynamite_ladung"" 1']",0.0009,0.001,0.001,0.0,0.001,0.001,0.001,0.001,1,0.001,0.0005,0.0005,0.0005,31.030000000000012,0.3103000000000001
./resource/gamelogic/set/breed/mp\ger2\elite5.set,ger2,elite5,0.1,vet_2,1,0.1,0.1,0.0009,"['""mauzer"" filled', '""ammo mauser_clip"" 60', '""bandage"" 3', '""panzerfaust_30 weapon"" 0 1 filled']",0.0009,0.001,0.001,0.0,0.001,0.001,0.001,0.001,1,0.001,0.0005,0.0005,0.0005,31.030000000000012,0.3103000000000001
./resource/gamelogic/set/breed/mp\ger2\elite6.set,ger2,elite6,0.1,vet_2,1,0.1,0.1,0.0009,"['""mp28"" filled', '""ammo mp28_mag"" 180', '""bandage"" 3', '""hohlladung grenade""']",0.0009,0.001,0.001,0.0,0.001,0.001,0.001,0.001,1,0.001,0.0005,0.0005,0.0005,31.030000000000012,0.3103000000000001
./resource/gamelogic/set/breed/mp\ger2\elite_at.set,ger2,elite_at,0.35,vet_4,1,0.1,0.1,0.0009,"['""weapon panzershreck"" filled', '""mp40"" filled', '""ammo pistol"" 500', '""bandage"" 3', '""grenade m24x5"" 1', '""ammo panzershreck"" 7']",0.001,0.001,0.001,0.0,0.004,0.004,0.004,0.004,4,0.004,0.001,0.001,0.001,57.690000000000005,0.5769
./resource/gamelogic/set/breed/mp\ger2\elite_tankman.set,ger2,elite_tankman,0.1,tankman,tankcrew,0.1,0.1,0.0008,"['""valter"" filled', '""ammo walther_mag"" 32']",0.00115,0.00115,0.001,0.008,0.005,0.005,0.005,0.003,2,0.004,0.00025,0.0012,0.00025,33.579999999999984,0.3358
./resource/gamelogic/set/breed/mp\ger2\elite_tankman2.set,ger2,elite_tankman2,0.15,tankman2,tankcrew,0.1,0.1,0.0008,"['""mp40"" filled', '""ammo mp40_mag"" 96']",0.0012,0.0012,0.001,0.01,0.004,0.005,0.006999999999999999,0.003,2,0.004,0.0005,0.0022,0.0005,39.039999999999985,0.39039999999999997
./resource/gamelogic/set/breed/mp\ger2\fallschirm_at.set,ger2,fallschirm_at,0.4,vet_7,lvl5,0.1,0.1,0.0009,"['""weapon panzershreck"" filled', '""ammo panzershreck"" 7', '""valter"" filled', '""ammo walther_mag"" 16', '""grenade m39"" 2', '""grenade pwm1""']",0.00095,0.001,0.001,0.0,0.006999999999999999,0.006999999999999999,0.006999999999999999,0.006999999999999999,7,0.006999999999999999,0.0017499999999999998,0.0017499999999999998,0.0017499999999999998,64.41000000000001,0.6441000000000001
./resource/gamelogic/set/breed/mp\ger2\fallschirm_at2.set,ger2,fallschirm_at2,0.4,vet_7,lvl5,0.1,0.1,0.0009,"['""mauzer_vet"" filled', '""ammo mauser_clip"" 60', '""smoke grenade"" 1', '""ammo panzershreck"" 5', '""grenade m39"" 2', '""grenade pwm1""']",0.00095,0.001,0.001,0.0,0.006999999999999999,0.006999999999999999,0.006999999999999999,0.006999999999999999,7,0.006999999999999999,0.0017499999999999998,0.0017499999999999998,0.0017499999999999998,64.41000000000001,0.6441000000000001
./resource/gamelogic/set/breed/mp\ger2\fallschirm_fgsc_42.set,ger2,fallschirm_fgsc_42,0.4,vet_6,lvl5,0.1,0.1,0.0009,"['""fg42_sc"" filled', '""ammo fg42_mag"" 160', '""bandage"" 5', '""grenade m39"" 2', '""grenade m24x5""', '""smoke grenade"" 1', '""sandbag_kit""']",0.00095,0.001,0.001,0.0,0.006999999999999999,0.006999999999999999,0.006999999999999999,0.006999999999999999,7,0.006999999999999999,0.0015,0.0015,0.0015,64.33500000000004,0.6433499999999999
./resource/gamelogic/set/breed/mp\ger2\fallschirm_fgsc_43.set,ger2,fallschirm_fgsc_43,0.4,vet_6,lvl5,0.1,0.1,0.0009,"['""fg42_sc"" filled', '""ammo fg42_mag"" 160', '""bandage"" 5', '""grenade m39"" 2', '""grenade pwm1""', '""smoke grenade"" 1', '""sandbag_kit""', '""panzerfaust_60 weapon"" 0 1 filled']",0.00095,0.001,0.001,0.0,0.006999999999999999,0.006999999999999999,0.006999999999999999,0.006999999999999999,7,0.006999999999999999,0.0015,0.0015,0.0015,64.33500000000004,0.6433499999999999
./resource/gamelogic/set/breed/mp\ger2\fallschirm_fg_42.set,ger2,fallschirm_fg_42,0.4,vet_6,lvl5,0.1,0.1,0.0009,"['""fg42_rifle"" filled', '""ammo fg42_mag"" 160', '""bandage"" 5', '""grenade m39"" 2', '""grenade m24x5""', '""smoke grenade"" 1', '""sandbag_kit""']",0.00095,0.001,0.001,0.0,0.006999999999999999,0.006999999999999999,0.006999999999999999,0.006999999999999999,7,0.006999999999999999,0.0015,0.0015,0.0015,64.33500000000004,0.6433499999999999
./resource/gamelogic/set/breed/mp\ger2\fallschirm_fg_43.set,ger2,fallschirm_fg_43,0.4,vet_6,lvl5,0.1,0.1,0.0009,"['""fg42_rifle"" filled', '""ammo fg42_mag"" 160', '""bandage"" 5', '""grenade m39"" 2', '""grenade pwm1""', '""smoke grenade"" 1', '""sandbag_kit""', '""panzerfaust_60 weapon"" 0 1 filled']",0.00095,0.001,0.001,0.0,0.006999999999999999,0.006999999999999999,0.006999999999999999,0.006999999999999999,7,0.006999999999999999,0.0015,0.0015,0.0015,64.33500000000004,0.6433499999999999
./resource/gamelogic/set/breed/mp\ger2\fallschirm_grenadier.set,ger2,fallschirm_grenadier,0.4,vet_6,lvl5,0.1,0.1,0.0009,"['""mauzer_vet"" filled', '""ammo mauser_clip"" 120', '""bandage"" 5', '""k98_gewehrgranat"" filling ""k98_grenade fg"" 1', '""k98_grenade fg"" 6 1', '""k98_grenade ap"" 1 1', '""ammo mg_mauser drum"" 50', '""panzerfaust_60 weapon"" 0 1 filled']",0.00095,0.001,0.001,0.0,0.006999999999999999,0.006999999999999999,0.006999999999999999,0.006999999999999999,7,0.006999999999999999,0.0015,0.0015,0.0015,64.33500000000004,0.6433499999999999
./resource/gamelogic/set/breed/mp\ger2\fallschirm_mg.set,ger2,fallschirm_mg,0.4,vet_6,lvl5,0.1,0.1,0.0009,"['""mg42_inf_250"" filled', '""ammo mg_mauser belt"" 300', '""bandage"" 5', '""sandbag_kit""', '""barrel_case""']",0.00095,0.001,0.001,0.0,0.006999999999999999,0.006999999999999999,0.006999999999999999,0.006999999999999999,7,0.006999999999999999,0.0015,0.0015,0.0015,64.33500000000004,0.6433499999999999
./resource/gamelogic/set/breed/mp\ger2\fallschirm_mg_39.set,ger2,fallschirm_mg_39,0.4,vet_6,lvl5,0.1,0.1,0.0009,"['""mg34"" filled', '""ammo mg_mauser drum"" 300', '""bandage"" 5', '""sandbag_kit""', '""barrel_case""']",0.00095,0.001,0.001,0.0,0.006999999999999999,0.006999999999999999,0.006999999999999999,0.006999999999999999,7,0.006999999999999999,0.0015,0.0015,0.0015,64.33500000000004,0.6433499999999999
